; Jos haluat sorkkia tätä tiedostoa käsin, ota ensin varmuuskopio.
; Erityisesti id-kenttien kopelointi voi aiheuttaa ongelmia!
; kunta_id | Kunta                | Maakunta
       218 | Pälkäne              | Pirkanmaa
       219 | Pöytyä               | Varsinais-Suomi
       220 | Raahe                | Pohjois-Pohjanmaa
       221 | Raasepori            | Uusimaa
       222 | Raisio               | Varsinais-Suomi
       223 | Rantasalmi           | Etelä-Savo
       224 | Ranua                | Lappi
       225 | Rauma                | Satakunta
       226 | Rautalampi           | Pohjois-Savo
       227 | Rautavaara           | Pohjois-Savo
       228 | Rautjärvi            | Etelä-Karjala
       229 | Reisjärvi            | Pohjois-Pohjanmaa
       230 | Riihimäki            | Kanta-Häme
       231 | Ristijärvi           | Kainuu
       232 | Rovaniemi            | Lappi
       233 | Ruokolahti           | Etelä-Karjala
       234 | Ruovesi              | Pirkanmaa
       235 | Rusko                | Varsinais-Suomi
       236 | Rääkkylä             | Pohjois-Karjala
       237 | Saarijärvi           | Keski-Suomi
       238 | Salla                | Lappi
       239 | Salo                 | Varsinais-Suomi
       240 | Saltvik              | Ahvenanmaa
       241 | Sastamala            | Pirkanmaa
       242 | Sauvo                | Varsinais-Suomi
       243 | Savitaipale          | Etelä-Karjala
       244 | Savonlinna           | Etelä-Savo
       245 | Savukoski            | Lappi
       246 | Seinäjoki            | Etelä-Pohjanmaa
       247 | Sievi                | Pohjois-Pohjanmaa
       248 | Siikainen            | Satakunta
       249 | Siikajoki            | Pohjois-Pohjanmaa
       250 | Siikalatva           | Pohjois-Pohjanmaa
       251 | Siilinjärvi          | Pohjois-Savo
       252 | Simo                 | Lappi
       253 | Sipoo                | Uusimaa
       254 | Siuntio              | Uusimaa
       255 | Sodankylä            | Lappi
       256 | Soini                | Etelä-Pohjanmaa
       257 | Somero               | Varsinais-Suomi
       258 | Sonkajärvi           | Pohjois-Savo
       259 | Sotkamo              | Kainuu
       260 | Sottunga             | Ahvenanmaa
       261 | Sulkava              | Etelä-Savo
       262 | Sund                 | Ahvenanmaa
       263 | Suomussalmi          | Kainuu
       264 | Suonenjoki           | Pohjois-Savo
       265 | Sysmä                | Päijät-Häme
       266 | Säkylä               | Satakunta
       267 | Taipalsaari          | Etelä-Karjala
       268 | Taivalkoski          | Pohjois-Pohjanmaa
       269 | Taivassalo           | Varsinais-Suomi
       270 | Tammela              | Kanta-Häme
       271 | Tampere              | Pirkanmaa
       272 | Tervo                | Pohjois-Savo
       273 | Tervola              | Lappi
       274 | Teuva                | Etelä-Pohjanmaa
       275 | Tohmajärvi           | Pohjois-Karjala
       276 | Toholampi            | Keski-Pohjanmaa
       277 | Toivakka             | Keski-Suomi
       278 | Tornio               | Lappi
       279 | Turku                | Varsinais-Suomi
       280 | Tuusniemi            | Pohjois-Savo
       281 | Tuusula              | Uusimaa
       282 | Tyrnävä              | Pohjois-Pohjanmaa
       283 | Ulvila               | Satakunta
       284 | Urjala               | Pirkanmaa
       285 | Utajärvi             | Pohjois-Pohjanmaa
       286 | Utsjoki              | Lappi
       287 | Uurainen             | Keski-Suomi
       288 | Uusikaarlepyy        | Pohjanmaa
       289 | Uusikaupunki         | Varsinais-Suomi
       290 | Vaala                | Kainuu
       291 | Vaasa                | Pohjanmaa
       292 | Valkeakoski          | Pirkanmaa
       293 | Valtimo              | Pohjois-Karjala
       294 | Vantaa               | Uusimaa
       295 | Varkaus              | Pohjois-Savo
       296 | Vehmaa               | Varsinais-Suomi
       297 | Vesanto              | Pohjois-Savo
       298 | Vesilahti            | Pirkanmaa
       299 | Veteli               | Keski-Pohjanmaa
       300 | Vieremä              | Pohjois-Savo
       301 | Vihti                | Uusimaa
       302 | Viitasaari           | Keski-Suomi
       303 | Vimpeli              | Etelä-Pohjanmaa
       304 | Virolahti            | Kymenlaakso
       305 | Virrat               | Pirkanmaa
       306 | Vårdö                | Ahvenanmaa
       307 | Vöyri                | Pohjanmaa
       308 | Ylitornio            | Lappi
       309 | Ylivieska            | Pohjois-Pohjanmaa
       310 | Ylöjärvi             | Pirkanmaa
       311 | Ypäjä                | Kanta-Häme
       312 | Ähtäri               | Etelä-Pohjanmaa
       313 | Äänekoski            | Keski-Suomi
